symbol,side,sleeve,open_ts,close_ts,pnl,pair,notional,entry_price,exit_price,gross_pnl,cost,duration_bars,exit_reason,sl_price,tp_price,signal_info,round_kind,round_start,direction,leverage_x,price_chg_pct,pnl_eq_pct,duration_min,exit_label
USDCHF,-1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-6295.8060064901265,USDCHF,6882026.568076185,0.7866550000000001,0.787355,-6123.928021372514,171.87798511761235,96,eod,,0.7842950350000001,pre_ret=+0.311% rank=6/6 (strongest) vol=0.00048 wt=0.31 notional_x=6.9x,round_2,2026-06-01 22:00:00,SHORT,6.88,-0.089,-0.6296,1440,Held to round-end (EOD)
EURUSD,1,coc,2026-06-01 22:00:00,2026-06-02 22:00:00,-5674.613562079344,EURUSD,9654492.900220925,1.1633850000000001,1.162725,-5477.090829043262,197.5227330360818,96,eod,,1.166875155,pre_ret=-0.122% rank=2/6 (weakest) vol=0.00034 wt=0.44 notional_x=9.7x,round_2,2026-06-01 22:00:00,LONG,9.65,-0.0567,-0.5675,1440,Held to round-end (EOD)
AUDUSD,1,coc,2026-06-02 11:45:00,2026-06-02 22:00:00,-1931.8305365981685,AUDUSD,5463480.531702891,0.7180650000000001,0.71783,-1788.0246564733911,143.80588012477736,41,eod,,0.720219195,pre_ret=-0.180% rank=1/6 (weakest) vol=0.00060 wt=0.25 notional_x=5.5x [re-entry after TP],round_2,2026-06-01 22:00:00,LONG,5.46,-0.0327,-0.1932,615,Held to round-end (EOD)
USDCHF,-1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,20695.924385719904,USDCHF,6085160.519252232,0.79217,0.7894450000000001,20932.45441630244,236.5300305825377,96,finals_bank,,0.78979349,pre_ret=+0.346% rank=6/6 (strongest) vol=0.00041 wt=0.28 notional_x=6.1x,finals,2026-06-03 22:00:00,SHORT,6.09,0.344,2.0696,1440,Banked at Finals +24h profit-take
GBPUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,7491.071511179213,GBPUSD,8207280.669620221,1.3413050000000002,1.3425550000000002,7648.596580960218,157.52506978100385,96,finals_bank,,1.345328915,pre_ret=-0.259% rank=2/6 (weakest) vol=0.00030 wt=0.37 notional_x=8.2x,finals,2026-06-03 22:00:00,LONG,8.21,0.0932,0.7491,1440,Banked at Finals +24h profit-take
AUDUSD,1,coc,2026-06-03 22:00:00,2026-06-04 22:00:00,6824.82906893819,AUDUSD,7707558.811127545,0.7128050000000001,0.7134550000000001,7028.448491848255,203.6194229100645,96,finals_bank,,0.714943415,pre_ret=-0.571% rank=1/6 (weakest) vol=0.00032 wt=0.35 notional_x=7.7x,finals,2026-06-03 22:00:00,LONG,7.71,0.0912,0.6825,1440,Banked at Finals +24h profit-take
AUDUSD,1,coc,2026-06-07 22:00:00,2026-06-08 10:30:00,19310.500469150404,AUDUSD,5867122.265868122,0.70376,0.7060950000000001,19466.480747417623,155.98027826721832,50,coc_tp,,0.70587128,pre_ret=-1.578% rank=1/6 (weakest) vol=0.00091 wt=0.27 notional_x=5.9x,round_1,2026-06-07 22:00:00,LONG,5.87,0.3318,1.9311,750,"COC take-profit hit (+0.30% price move) — banked, re-entering"
USDCHF,-1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,-9599.27524407648,USDCHF,7006568.371069954,0.7968550000000001,0.7979050000000001,-9232.415922122345,366.85932195413443,96,eod,,0.7944644350000001,pre_ret=+1.163% rank=6/6 (strongest) vol=0.00076 wt=0.32 notional_x=7.0x,round_1,2026-06-07 22:00:00,SHORT,7.01,-0.1318,-0.9599,1440,Held to round-end (EOD)
GBPUSD,1,coc,2026-06-07 22:00:00,2026-06-08 22:00:00,7630.089903605788,GBPUSD,9126309.363061922,1.332865,1.334005,7805.736270284234,175.64636667844545,96,eod,,1.3368635949999998,pre_ret=-1.187% rank=2/6 (weakest) vol=0.00058 wt=0.41 notional_x=9.1x,round_1,2026-06-07 22:00:00,LONG,9.13,0.0855,0.763,1440,Held to round-end (EOD)
AUDUSD,1,coc,2026-06-08 10:45:00,2026-06-08 22:00:00,-12458.924194461473,AUDUSD,5867122.265868122,0.705805,0.7043250000000001,-12302.747860222727,156.1763342387457,45,eod,,0.707922415,pre_ret=-1.578% rank=1/6 (weakest) vol=0.00091 wt=0.27 notional_x=5.9x [re-entry after TP],round_1,2026-06-07 22:00:00,LONG,5.87,-0.2097,-1.2459,675,Held to round-end (EOD)
AUDUSD,1,coc,2026-06-08 22:00:00,2026-06-09 06:00:00,18758.08221189972,AUDUSD,5691594.122746783,0.7043250000000001,0.7066650000000001,18909.353277573788,151.2710656740662,32,coc_tp,,0.706437975,pre_ret=-0.111% rank=1/6 (weakest) vol=0.00050 wt=0.26 notional_x=5.7x,round_2,2026-06-08 22:00:00,LONG,5.69,0.3322,1.8758,480,"COC take-profit hit (+0.30% price move) — banked, re-entering"
AUDUSD,-1,css,2026-06-09 06:00:00,2026-06-09 08:15:00,2841.482530668113,AUDUSD/USDCAD,1049999.9999999998,0.7066650000000001,0.7050750000000001,2897.5297395376792,56.04720886956602,9,z_reversion,,0.0,CSS z=+2.62 on AUDUSD/USDCAD,round_2,2026-06-08 22:00:00,SHORT,1.05,0.225,0.2841,135,CSS z-score reverted (|z| <= 0.10) — mean-reversion complete
EURUSD,-1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,-4598.837933418792,EURUSD,9580060.288460957,1.1534050000000002,1.1539350000000002,-4402.1241046142495,196.7138288045429,96,eod,,1.1499447850000002,pre_ret=+0.171% rank=6/6 (strongest) vol=0.00029 wt=0.44 notional_x=9.6x,round_2,2026-06-08 22:00:00,SHORT,9.58,-0.046,-0.4599,1440,Held to round-end (EOD)
USDCHF,1,coc,2026-06-08 22:00:00,2026-06-09 22:00:00,6318.014305852277,USDCHF,6728345.588792261,0.7979050000000001,0.7986850000000001,6577.3614142764,259.34710842412323,96,eod,,0.800298715,pre_ret=-0.003% rank=2/6 (weakest) vol=0.00042 wt=0.31 notional_x=6.7x,round_2,2026-06-08 22:00:00,LONG,6.73,0.0978,0.6318,1440,Held to round-end (EOD)
AUDUSD,1,coc,2026-06-09 08:15:00,2026-06-09 22:00:00,-21381.95379433422,AUDUSD,5691594.122746783,0.7050750000000001,0.702445,-21230.213158635026,151.7406356991939,55,eod,,0.7071902250000001,pre_ret=-0.111% rank=1/6 (weakest) vol=0.00050 wt=0.26 notional_x=5.7x [re-entry after TP],round_2,2026-06-08 22:00:00,LONG,5.69,-0.373,-2.1382,825,Held to round-end (EOD)
USDCHF,-1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,506.9340606760824,USDCHF,6851789.741030461,0.800085,0.799995,770.7444542677572,263.81039359167477,7,eod,,0.7976847450000001,pre_ret=+0.125% rank=6/6 (strongest) vol=0.00048 wt=0.31 notional_x=6.9x,finals,2026-06-10 22:00:00,SHORT,6.85,0.0112,0.0507,105,Held to round-end (EOD)
EURUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,3204.5108863383957,EURUSD,7923605.944739084,1.153045,1.1535350000000002,3367.2293040794057,162.71841774101017,7,eod,,1.156504135,pre_ret=-0.174% rank=2/6 (weakest) vol=0.00041 wt=0.36 notional_x=7.9x,finals,2026-06-10 22:00:00,LONG,7.92,0.0425,0.3205,105,Held to round-end (EOD)
GBPUSD,1,coc,2026-06-10 22:00:00,2026-06-10 23:45:00,2078.593574020673,GBPUSD,7224604.314230456,1.3357550000000002,1.336165,2217.538222828246,138.94464880757323,7,eod,,1.339762265,pre_ret=-0.211% rank=1/6 (weakest) vol=0.00045 wt=0.33 notional_x=7.2x,finals,2026-06-10 22:00:00,LONG,7.22,0.0307,0.2079,105,Held to round-end (EOD)
