open_ts,close_ts,hold_seconds,open_price,close_price,qty,direction,realized_pnl,implied_pnl
2026-06-24 04:14:19.535000+00:00,2026-06-24 04:14:29.415000+00:00,9.88,62605.214,62605.026,1.0,long,1.44,-0.18800000000192085
2026-06-24 04:14:33.464000+00:00,2026-06-24 04:14:39.536000+00:00,6.072,62605.198,62610.364,1.0,long,4.52,5.166000000004715
2026-06-24 04:14:44.985000+00:00,2026-06-24 04:14:51.455000+00:00,6.47,62610.559,62611.442,1.0,short,1.88,-0.8830000000016298
2026-06-24 04:14:53.684000+00:00,2026-06-24 04:14:57.734000+00:00,4.05,62611.131,62611.001,1.0,long,-0.13,-0.1300000000046566
2026-06-24 04:15:02.604000+00:00,2026-06-24 04:15:14.885000+00:00,12.281,62616.427,62629.173,1.0,short,3.62,-12.745999999999185
2026-06-24 04:15:27.974000+00:00,2026-06-24 04:15:30.178000+00:00,2.204,62633.281,62618.475,1.0,short,15.28,14.806000000004133
2026-06-24 04:15:30.635000+00:00,2026-06-24 04:15:34.475000+00:00,3.84,62617.375,62619.425,1.0,short,-2.05,-2.0500000000029104
2026-06-24 04:15:38.526000+00:00,2026-06-24 04:15:46.185000+00:00,7.659,62621.866,62618.22,1.0,short,1.54,3.6460000000006403
2026-06-24 04:15:51.425000+00:00,2026-06-24 04:15:51.673000+00:00,0.248,62620.335,62620.351,1.0,short,-0.02,-0.01600000000325963
2026-06-24 04:15:55.745000+00:00,2026-06-24 04:16:26.995000+00:00,31.25,62624.451,62634.829,1.0,short,-5.18,-10.377999999996973
2026-06-24 04:16:31.046000+00:00,2026-06-24 04:16:39.565000+00:00,8.519,62643.247,62646.33,1.0,short,-1.07,-3.0829999999987194
2026-06-24 04:16:40.805000+00:00,2026-06-24 04:16:44.865000+00:00,4.06,62645.934,62622.32,1.0,short,23.61,23.614000000001397
2026-06-24 04:16:48.915000+00:00,2026-06-24 04:17:15.917000+00:00,27.002,62622.071,62608.623,1.0,long,0.97,-13.448000000003958
2026-06-24 04:17:22.765000+00:00,2026-06-24 04:17:41.924000+00:00,19.159,62606.698,62601.212,1.0,long,-0.35,-5.485999999997148
2026-06-24 04:17:48.165000+00:00,2026-06-24 04:17:52.795000+00:00,4.63,62593.989,62594.239,1.0,long,-0.18,0.25
2026-06-24 04:18:00.243000+00:00,2026-06-24 04:18:12.393000+00:00,12.15,62591.845,62584.093,1.0,long,0.42,-7.7520000000004075
2026-06-24 04:18:16.462000+00:00,2026-06-24 04:18:33.773000+00:00,17.311,62580.822,62577.155,1.0,long,9.65,-3.6670000000012806
2026-06-24 04:18:42.233000+00:00,2026-06-24 04:18:45.102000+00:00,2.8689999999999998,62581.849,62583.292,1.0,short,-0.85,-1.4429999999993015
2026-06-24 04:18:49.143000+00:00,2026-06-24 04:18:57.056000+00:00,7.913,62594.743,62607.731,1.0,short,-0.64,-12.987999999997555
2026-06-24 04:19:01.095000+00:00,2026-06-24 04:19:12.445000+00:00,11.35,62608.755,62607.855,1.0,short,-0.02,0.8999999999941792
2026-06-24 04:19:12.895000+00:00,2026-06-24 04:19:16.935000+00:00,4.04,62607.489,62607.205,1.0,short,0.28,0.28399999999965075
2026-06-24 04:19:20.754000+00:00,2026-06-24 04:19:23.404000+00:00,2.65,62603.815,62601.958,1.0,long,-1.86,-1.8570000000036089
2026-06-24 04:19:27.484000+00:00,2026-06-24 04:19:42.034000+00:00,14.55,62590.696,62588.661,1.0,long,5.31,-2.0350000000034925
