,equity
2026-06-24 05:43:46+00:00,1004943.6100000766
2026-06-24 05:43:49+00:00,1004942.4100000766
2026-06-24 05:43:54+00:00,1004942.4200000766
2026-06-24 05:43:59+00:00,1004942.4300000767
2026-06-24 05:44:04+00:00,1004942.4300000767
2026-06-24 05:44:09+00:00,1004942.4300000767
2026-06-24 05:44:14+00:00,1004942.4200000766
2026-06-24 05:44:19+00:00,1004942.4200000766
2026-06-24 05:44:24+00:00,1004942.4200000766
2026-06-24 05:44:29+00:00,1004942.4200000766
2026-06-24 05:44:34+00:00,1004943.6800000767
2026-06-24 05:44:39+00:00,1004943.6900000767
2026-06-24 05:44:44+00:00,1004948.1600000766
2026-06-24 05:44:49+00:00,1004947.9800000766
2026-06-24 05:44:54+00:00,1004947.9900000766
2026-06-24 05:44:59+00:00,1004947.9900000766
2026-06-24 05:45:04+00:00,1004947.9900000766
2026-06-24 05:45:07+00:00,1004946.7900000766
2026-06-24 05:45:12+00:00,1004946.8000000766
2026-06-24 05:45:14+00:00,1004945.6000000767
2026-06-24 05:45:19+00:00,1004951.1000000767
2026-06-24 05:45:24+00:00,1004951.1100000767
2026-06-24 05:45:29+00:00,1004949.9100000768
2026-06-24 05:45:34+00:00,1004950.6700000768
2026-06-24 05:45:39+00:00,1004950.6700000768
2026-06-24 05:45:42+00:00,1004956.1700000768
2026-06-24 05:45:47+00:00,1004956.1700000768
2026-06-24 05:45:52+00:00,1004956.1700000768
2026-06-24 05:45:56+00:00,1004954.9700000768
2026-06-24 05:46:01+00:00,1004954.9800000768
2026-06-24 05:46:05+00:00,1004953.7800000769
2026-06-24 05:46:10+00:00,1004955.7700000769
2026-06-24 05:46:14+00:00,1004954.5700000769
2026-06-24 05:46:19+00:00,1004956.5800000769
2026-06-24 05:46:24+00:00,1004956.5800000769
2026-06-24 05:46:29+00:00,1004958.1500000769
2026-06-24 05:46:34+00:00,1004956.9500000769
2026-06-24 05:46:39+00:00,1004959.5900000769
2026-06-24 05:46:44+00:00,1004958.4400000769
2026-06-24 05:46:49+00:00,1004958.4400000769
2026-06-24 05:46:54+00:00,1004958.4300000769
2026-06-24 05:46:59+00:00,1004958.4200000769
2026-06-24 05:47:04+00:00,1004958.4200000769
2026-06-24 05:47:09+00:00,1004957.7900000769
2026-06-24 05:47:14+00:00,1004957.7800000769
2026-06-24 05:47:19+00:00,1004957.7700000769
2026-06-24 05:47:24+00:00,1004957.7700000769
2026-06-24 05:47:29+00:00,1004959.6600000769
2026-06-24 05:47:34+00:00,1004959.6500000769
2026-06-24 05:47:39+00:00,1004959.6400000768
2026-06-24 05:47:44+00:00,1004959.6300000768
2026-06-24 05:47:49+00:00,1004959.6300000768
2026-06-24 05:47:54+00:00,1004959.6300000768
2026-06-24 05:47:59+00:00,1004959.6300000768
2026-06-24 05:48:04+00:00,1004961.6100000768
2026-06-24 05:48:09+00:00,1004961.6100000768
2026-06-24 05:48:14+00:00,1004961.6200000768
2026-06-24 05:48:17+00:00,1004967.1200000768
2026-06-24 05:48:22+00:00,1004967.1100000768
2026-06-24 05:48:27+00:00,1004971.1000000768
2026-06-24 05:48:32+00:00,1004974.2500000768
2026-06-24 05:48:37+00:00,1004974.2500000768
2026-06-24 05:48:42+00:00,1004974.2400000768
2026-06-24 05:48:47+00:00,1004974.2400000768
2026-06-24 05:48:52+00:00,1004974.2300000768
2026-06-24 05:48:56+00:00,1004973.0300000769
2026-06-24 05:49:01+00:00,1004973.0300000769
2026-06-24 05:49:06+00:00,1004973.0200000769
2026-06-24 05:49:11+00:00,1004973.0100000768
2026-06-24 05:49:16+00:00,1004971.8100000769
2026-06-24 05:49:21+00:00,1004971.8000000769
2026-06-24 05:49:26+00:00,1004971.8000000769
2026-06-24 05:49:29+00:00,1004970.6000000769
2026-06-24 05:49:34+00:00,1004970.6100000769
2026-06-24 05:49:39+00:00,1004974.5900000769
2026-06-24 05:49:41+00:00,1004973.390000077
2026-06-24 05:49:46+00:00,1004973.400000077
2026-06-24 05:49:48+00:00,1004972.200000077
2026-06-24 05:49:53+00:00,1004972.200000077
2026-06-24 05:49:57+00:00,1004971.0000000771
2026-06-24 05:50:00+00:00,1004976.5000000771
2026-06-24 05:50:05+00:00,1004976.5000000771
2026-06-24 05:50:08+00:00,1004982.0000000771
2026-06-24 05:50:13+00:00,1004981.990000077
2026-06-24 05:50:18+00:00,1004981.990000077
2026-06-24 05:50:23+00:00,1004982.0000000771
2026-06-24 05:50:28+00:00,1004982.0000000771
2026-06-24 05:50:33+00:00,1004982.0000000771
2026-06-24 05:50:38+00:00,1004982.0100000771
2026-06-24 05:50:40+00:00,1004980.8100000771
2026-06-24 05:50:45+00:00,1004986.3100000771
2026-06-24 05:50:47+00:00,1004985.1100000772
2026-06-24 05:50:52+00:00,1004987.1100000772
2026-06-24 05:50:57+00:00,1004986.9200000772
2026-06-24 05:50:59+00:00,1004985.7200000773
2026-06-24 05:51:04+00:00,1004985.7600000773
2026-06-24 05:51:09+00:00,1004985.7500000773
2026-06-24 05:51:14+00:00,1004987.7400000773
2026-06-24 05:51:19+00:00,1004987.7400000773
2026-06-24 05:51:24+00:00,1004987.7300000773
2026-06-24 05:51:29+00:00,1004991.3900000773
2026-06-24 05:51:34+00:00,1004991.3900000773
2026-06-24 05:51:39+00:00,1004991.3800000773
2026-06-24 05:51:44+00:00,1004991.3800000773
2026-06-24 05:51:49+00:00,1004991.3800000773
2026-06-24 05:51:54+00:00,1004991.3700000773
2026-06-24 05:51:59+00:00,1004991.3800000773
2026-06-24 05:52:04+00:00,1004991.3800000773
2026-06-24 05:52:09+00:00,1004991.3900000773
2026-06-24 05:52:12+00:00,1004990.1900000774
2026-06-24 05:52:17+00:00,1004990.1900000774
2026-06-24 05:52:20+00:00,1004988.9900000774
2026-06-24 05:52:23+00:00,1004994.4900000774
2026-06-24 05:52:28+00:00,1004994.4800000774
2026-06-24 05:52:33+00:00,1004996.4700000774
2026-06-24 05:52:38+00:00,1004996.4700000774
2026-06-24 05:52:43+00:00,1004996.4800000774
2026-06-24 05:52:48+00:00,1005001.9800000774
2026-06-24 05:52:53+00:00,1005001.9800000774
2026-06-24 05:52:58+00:00,1005001.9800000774
2026-06-24 05:53:01+00:00,1005000.7800000774
2026-06-24 05:53:06+00:00,1005000.7700000774
2026-06-24 05:53:11+00:00,1005000.7600000774
2026-06-24 05:53:16+00:00,1005000.7600000774
2026-06-24 05:53:21+00:00,1005000.7600000774
2026-06-24 05:53:26+00:00,1005000.7600000774
2026-06-24 05:53:31+00:00,1005000.7600000774
2026-06-24 05:53:36+00:00,1005000.7500000774
2026-06-24 05:53:41+00:00,1005000.7400000774
2026-06-24 05:53:46+00:00,1005000.7400000774
2026-06-24 05:53:51+00:00,1005000.7400000774
2026-06-24 05:53:56+00:00,1005000.7400000774
2026-06-24 05:54:01+00:00,1005000.7400000774
2026-06-24 05:54:06+00:00,1005000.7400000774
